Index,mouse_sample,G-CSF,Eotaxin,GM-CSF,INFg,IL-1a,IL-1b,IL-2,IL-4,IL-3,IL-5,IL-6,IL-7,IL-9,IL-10,IL-12p40,IL-12p70,LIF,IL-13,LIX,IL-15,IL-17,IP-10,KC,MCP-1,MIP-1a,MIP-1b,M-CSF,MIP2,MIG,RANTES,VEGF,TNFa
,4-4T,398,7993,37,538.5,75,60,96,88.5,83.5,51,870,69,64,120,139,44,551,100.5,127,79.5,77,30902,180,639,162.5,680,124,147,6564,855,10068.5,70.5
,4-5L,912,8652,196,124671,830,160,584.5,1041,381.5,193,12036,261.5,350.5,507,584,150,1516.5,692,717,152,428,23535,2398,7683,2114,2172,231.5,153.5,33827.5,6590,281,436
,4-5L,170.5,402,97,45196,260.5,69.5,90,168,101.5,57,2054,63.5,125,115,152,52,165,154,180,60,107.5,2967,254,699,712,944,65,65,6709,946,115,122.5
,4-5T,495.5,14153,61,730,153.5,73,124,88,81,63,660,56,102,115.5,139,38,526.5,122,113,66,85,40848,217.5,1058.5,177,772,140,315,12932.5,1286,8502.5,97.5
,4-5T,357.5,12179,32,596.5,119,93,139.5,107,120,50,595,68.5,94,144.5,102,37,451,114.5,107.5,53,71.5,37112,191,786.5,168.5,718,126,237,11151,1223,8090.5,108.5
,4-6L,584,3959,65,50608,219,82.5,169,594.5,170.5,45,1860,125,105,315,111,48,254,198.5,190,84,253,17537,282,354,425.5,970.5,87,73,15319,3583.5,169,93
,4-6L,549.5,4939,110,49475,162,56,109,528,123,66,2090,123,77,197,159,67,279,308,227,82,198,20077,301.5,354,384.5,992,89.5,75,17365,2983,152,81
,4-6T,741,8692,53.5,1583,138,77,151,94,99,91,3361,66,79,172,152.5,46,790,134,164.5,70,106,44976.5,375,1410,171.5,789,163.5,2638.5,15573.5,329.5,26646,95
,4-6T,648,6188.5,62,1334,103.5,75,167,107,79,75,2837,73,98.5,127,149,55,682.5,124,155,74,97.5,41992.5,337,1143.5,143,816.5,127,1969.5,15821,312.5,24911,83
,4-7L,109,163.5,48,27502,238,75,97,139,88,67,176,81,116,103,97,41,96,154,131,55,105,326,182,122.5,411,889.5,70,51,1859,668,97,81
,4-7L,142.5,183,46,25535.5,182,86,143,152,95.5,73,833,53,136.5,125,103.5,48.5,144.5,135,162,72,117,3403,235,219,764.5,1178,63,53,1934.5,525,131,89
,4-7T,413.5,17873,55.5,7268,182,78,101,281.5,92.5,510.5,750.5,93,111,142,133,47,373,111,176,111.5,80,46086.5,298,2331.5,1728.5,1054.5,160.5,2348.5,18712,2923,7171.5,127
,4-7T,527,18232.5,59.5,7824,195,103,119,281,95,691,834,100,115.5,152,163,52,485,128,153,83,106,52112,301,2668,1929,1023,171,2945,20377.5,3156,7966,132
,4-8L,128,113,37.5,7063,83,47,101,150,62.5,37.5,80,34.5,80,47.5,85,45,127,42,54,40,72,289.5,138.5,219,77,102.5,35,47,618,205,55.5,58.5
